case,is_nocoupl,n_h3,n_OMEGA,n_error,first_with_OMEGA,first_without_OMEGA,first_error
0003-02,0,87,0,0,,BWCN.e122.f19_g16.007.0003-02.001.small-pertlim.cam.h3.0003-02-01-00000.nc,
0003-03,0,90,0,0,,BWCN.e122.f19_g16.007.0003-03.001.small-pertlim.cam.h3.0003-03-01-00000.nc,
0008-01,0,90,0,0,,BWCN.e122.f19_g16.002.0008-01.001.cam.h3.0008-01-01-00000.nc,
0008-02,0,60,58,0,BWCN.e122.f19_g16.002.0008-02.002.cam.h3.0008-02-01-00000.nc,BWCN.e122.f19_g16.002.0008-02.001.cam.h3.0008-02-01-00000.nc,
0008-02_NOCOUPL,1,90,0,0,,BWCN.NOCOUPL.e122.f19_g16.002.0008-02.001.small-pertlim.cam.h3.0008-02-01-00000.nc,
0008-02_v2,0,60,58,0,BWCN.e122.f19_g16.002.0008-02.002.cam.h3.0008-02-01-00000.nc,BWCN.e122.f19_g16.002.0008-02.001.cam.h3.0008-02-01-00000.nc,
0008-02_v3,0,90,0,0,,BWCN.e122.f19_g16.002.0008-02.001.branch.cam.h3.0008-02-02-00000.nc,
0008-03,0,90,0,0,,BWCN.e122.f19_g16.002.0008-03.001.cam.h3.0008-03-01-00000.nc,
0008-03_NOCOUPL,1,90,0,0,,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.001.small-pertlim.cam.h3.0008-03-01-00000.nc,
0008-03_v2,0,60,0,0,,BWCN.e122.f19_g16.002.0008-03.001.cam.h3.0008-03-01-00000.nc,
0008-03_v3,0,90,0,0,,BWCN.e122.f19_g16.002.0008-03.001.branch.cam.h3.0008-03-02-00000.nc,
0008-04_v2,0,90,0,0,,BWCN.e122.f19_g16.002.0008-04.001.cam.h3.0008-04-01-00000.nc,
0013-02,0,90,0,0,,BWCN.e122.f19_g16.002.0013-02.001.small-pertlim.cam.h3.0013-02-01-00000.nc,
0013-02_NOCOUPL,1,90,0,0,,BWCN.NOCOUPL.e122.f19_g16.002.0013-02.001.small-pertlim.cam.h3.0013-02-01-00000.nc,
0013-03,0,90,0,0,,BWCN.e122.f19_g16.002.0013-03.001.small-pertlim.cam.h3.0013-03-01-00000.nc,
0013-03_NOCOUPL,1,90,0,0,,BWCN.NOCOUPL.e122.f19_g16.002.0013-03.001.small-pertlim.cam.h3.0013-03-01-00000.nc,
0014-02,0,90,0,0,,BWCN.e122.f19_g16.002.0014-02.001.small-pertlim.cam.h3.0014-02-01-00000.nc,
0014-02_NOCOUPL,1,90,0,0,,BWCN.NOCOUPL.e122.f19_g16.002.0014-02.001.small-pertlim.cam.h3.0014-02-01-00000.nc,
0014-03,0,90,0,0,,BWCN.e122.f19_g16.002.0014-03.001.small-pertlim.cam.h3.0014-03-01-00000.nc,
0014-03_NOCOUPL,1,90,0,0,,BWCN.NOCOUPL.e122.f19_g16.002.0014-03.001.small-pertlim.cam.h3.0014-03-01-00000.nc,
0019-02,0,90,0,0,,BWCN.e122.f19_g16.002.0019-02.001.small-pertlim.cam.h3.0019-02-01-00000.nc,
0019-02_NOCOUPL,1,90,0,0,,BWCN.NOCOUPL.e122.f19_g16.002.0019-02.001.small-pertlim.cam.h3.0019-02-01-00000.nc,
0019-03,0,90,0,0,,BWCN.e122.f19_g16.002.0019-03.001.small-pertlim.cam.h3.0019-03-01-00000.nc,
0019-03_NOCOUPL,1,90,0,0,,BWCN.NOCOUPL.e122.f19_g16.002.0019-03.001.small-pertlim.cam.h3.0019-03-01-00000.nc,
