case,member,status,ntime,nplev,old_mean,new_mean,bias_new_minus_old,rmse,max_abs_diff,corr,message
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.001.cam.h3,ok,121,23,-0.008800589746520478,-0.01039960641613983,4.049688725841078e-05,0.0028583072376904676,0.04332486381427861,0.9842147734667548,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.002.cam.h3,ok,121,23,-0.008805796124828515,-0.010764251904047034,8.387436919657261e-05,0.0027551508624696526,0.034147224961257897,0.9849042618039917,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.003.cam.h3,ok,121,23,-0.008608404372706933,-0.010557971170204994,-5.425977411076712e-06,0.002746569367511996,0.03198718321950647,0.9831419663254656,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.004.cam.h3,ok,121,23,-0.008548868343828332,-0.010123688502328275,5.3574266594259945e-05,0.0030671798672856454,0.04453910323438243,0.9824295211025801,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.005.cam.h3,ok,121,23,-0.008811784782353376,-0.010478531979461775,-7.600071711354697e-06,0.0026689883965599695,0.037574887962158264,0.9860800015692874,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.006.cam.h3,ok,121,23,-0.008816340832590027,-0.010968161780603126,5.547960691308726e-05,0.0030732253774860274,0.038587015988775564,0.9822039713090235,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.007.cam.h3,ok,121,23,-0.008557415610847559,-0.01013264197954398,6.0237380802661525e-05,0.003084142088561093,0.0562995364910054,0.9799041324105767,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.008.cam.h3,ok,121,23,-0.009032147714217667,-0.01078743079742783,-1.6124092818957913e-05,0.0028600040886496867,0.05049562987875917,0.9834071138032106,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.009.cam.h3,ok,121,23,-0.008853873259993228,-0.010836496471793312,3.8726928744671076e-05,0.0029128084023329216,0.04243900137833771,0.9842383118666621,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.010.cam.h3,ok,121,23,-0.009202864733971373,-0.011234512110542934,4.90847806184802e-06,0.002775127837330176,0.04110014514718176,0.986222307055686,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.011.cam.h3,ok,121,23,-0.008689537859362724,-0.010574602306259735,-2.057026017511983e-06,0.0029282600448928098,0.04286324564564713,0.9837950693299892,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.012.cam.h3,ok,121,23,-0.008838960495646388,-0.010727171044200415,2.5943488961891127e-05,0.0031071995977409047,0.03863354020666531,0.9808249849154519,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.013.cam.h3,ok,121,23,-0.009035687251768157,-0.011222242898258012,9.840496346744005e-05,0.003091380514048092,0.036662768923203595,0.9816431107265214,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.014.cam.h3,ok,121,23,-0.008626368740467901,-0.010470607533832998,3.388563018192268e-05,0.0027837168768545992,0.043700398625337554,0.9837285569567349,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.015.cam.h3,ok,121,23,-0.008450688179705061,-0.010194373988682028,-2.3760429547274907e-06,0.0027947945581493915,0.03654752113303599,0.9820643580591952,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.016.cam.h3,ok,121,23,-0.00838522306943095,-0.010130166389549085,8.857285967934562e-06,0.0023753490669679985,0.026592012380607946,0.9862941112210364,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.017.cam.h3,ok,121,23,-0.008879978561403976,-0.011067292194840992,5.837758560010593e-05,0.0030932606319207983,0.056071155287816435,0.9808413233672058,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.018.cam.h3,ok,121,23,-0.008515561484016398,-0.010271054769232272,-5.369451028076746e-05,0.00283354668419909,0.04070727767022807,0.982481236531022,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.019.cam.h3,ok,121,23,-0.008661309885309798,-0.011044080869129747,6.381961387028668e-06,0.00283363610543351,0.04203949853007033,0.9835023745117678,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.020.cam.h3,ok,121,23,-0.008353921483545215,-0.00981438815710564,4.2913529984717754e-05,0.002903496830234313,0.0392846019237348,0.9825609833668818,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.021.cam.h3,ok,121,23,-0.008954098002722023,-0.010704233843380357,8.828770845656943e-05,0.002956821222229527,0.04138347331870949,0.9832960166902392,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.022.cam.h3,ok,121,23,-0.008906933396555313,-0.010691174444545886,8.859190109723614e-05,0.0030073159278227305,0.04568252449657804,0.9816704144569063,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.023.cam.h3,ok,121,23,-0.00862404328619534,-0.010286319125260896,3.429145238173774e-05,0.0027407577267580412,0.03110407438170349,0.9839050586485742,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.024.cam.h3,ok,121,23,-0.008871406588742069,-0.011456339613391823,5.389181640904551e-05,0.003069889992329486,0.04398964167791746,0.981159257225395,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.025.cam.h3,ok,121,23,-0.008300949402170231,-0.010096015939275374,1.7263430053353115e-05,0.002674883502467707,0.03623888353213012,0.9839648772004422,
0008-02_v2,BWCN.e122.f19_g16.002.0008-02.026.cam.h3,ok,121,23,-0.008951522559186832,-0.011256917564678625,8.513403116738889e-05,0.0029181416501985183,0.039344200817108974,0.9842585328062248,
