case,rows,ok_rows,non_ok_rows,corr_min,corr_median,corr_mean,corr_max,bias_new_minus_old_min,bias_new_minus_old_median,bias_new_minus_old_mean,bias_new_minus_old_max,rmse_min,rmse_median,rmse_mean,rmse_max,max_abs_diff_min,max_abs_diff_median,max_abs_diff_mean,max_abs_diff_max
0003-02,29,29,0,0.9753837218824264,0.979769785093131,0.9796772483123221,0.9821695796404858,7.521625554153718e-05,0.0001427412460746,0.00015551936934752892,0.0002693903992839,0.0027153808124458,0.0029553901663602,0.0029641520044884203,0.0034114100235225,0.0294945020247859,0.0393674186957369,0.04063305716547245,0.064889575512494
0003-03,30,30,0,0.97376488252281,0.9778062471442153,0.9778169508084887,0.9834647524986344,3.571558828188963e-05,0.0001248648712855,0.00013115581535878173,0.0002179542780269,0.0021027791706404,0.0025845797415011,0.00257820244851398,0.0028685392978557,0.0313009250816761,0.0355069935788504,0.03685104416333347,0.0481527990620614
0008-01,30,30,0,0.9772606147709324,0.9801993424421713,0.9803288740325702,0.98346546388399,-3.6326458967027975e-05,9.195234501572881e-05,7.963115775124869e-05,0.0002254417883754,0.0029709596831342,0.00327917883689995,0.003279703806436427,0.0036498062835457,0.0346270122137096,0.0403383467249365,0.041810237435402305,0.0544567559050536
0008-02,30,30,0,0.9758734379706648,0.9811262912153598,0.9805323113153742,0.9839684090787516,1.2524044717637432e-05,0.0001049044561165,0.00011376844874160198,0.0002232322836556,0.0028941935188344,0.0032307838961139496,0.0032422383347389403,0.0036588031232936,0.0412405678804657,0.050959178697767546,0.05223628428382163,0.0701841121097318
0008-02_NOCOUPL,30,30,0,0.9770139938656232,0.9807410285190377,0.9805071070384586,0.9835509776065852,-3.0100866913413707e-06,0.00013515113754615,0.0001318362216736582,0.0002417057157532,0.0026544051381277,0.0029858119861183004,0.002993135823605493,0.0033016679953925,0.0387367699351882,0.04259946096229605,0.043786954053626176,0.0535880451707791
0008-02_v2,30,30,0,0.9799041324105768,0.9832189915078524,0.9831132263081606,0.9862941112210364,-5.369451028076746e-05,3.141178694479478e-05,3.2478972151909954e-05,9.840496346744004e-05,0.0023753490669679,0.00285915566317,0.002885938685696987,0.0031573556251307,0.0265920123806079,0.041241809232945556,0.04103071105820976,0.0562995364910054
0008-02_v3,30,30,0,0.9763523003403096,0.9813496960636034,0.981407419893398,0.9847305408625722,2.920178388736565e-05,0.00012009978845395,0.00012108866530161006,0.0002172143968505,0.0026240318347191,0.0029618555551707,0.00296339317312513,0.00351847859053,0.0394127941199925,0.041765892561167944,0.04372613965331144,0.0581670847641953
0008-03,30,30,0,0.9759847636287448,0.9804789452234379,0.9804100025418883,0.9850410779357628,-4.723522589924506e-05,9.16544128591602e-05,8.45989424470674e-05,0.0001668796773507,0.0022232812754724,0.00254244152366635,0.0025253049129683506,0.0027584042834604,0.0367357485010621,0.0436529256919152,0.04525095283636502,0.0587633446072949
0008-03_NOCOUPL,30,30,0,0.9742582410042436,0.9794021944708514,0.9791206536938094,0.9840625903341238,5.759755566958715e-05,0.0001376501917058,0.0001416639308286849,0.0002337467217631,0.002170563844202,0.00248176831047735,0.002492827278116377,0.0027468642401207,0.0311396424677384,0.0346313507844783,0.0362371665834796,0.0487267035952738
0008-03_v2,30,30,0,0.9784169730728464,0.9813303251706312,0.9814156330955031,0.9849617806282278,1.9550485310627694e-05,7.724033757549115e-05,8.60252801005022e-05,0.0001572582977774,0.0024294757239999,0.0027069195475742,0.0027185330310491996,0.0029726766250361,0.0321484741393553,0.0386917119118401,0.039247881159101175,0.0483624968273442
