pair_id,our_year,marina_year
1,11,7
2,12,8
3,13,9
4,14,10
5,15,11
6,16,12
7,17,13
8,18,14
9,19,15
10,20,16
11,21,17
12,22,18
13,23,19
14,24,20
15,25,21
16,26,22
17,27,23
18,28,24
19,29,25
20,30,26
21,31,27
22,32,28
23,33,29
24,34,30
25,35,31
26,36,32
27,37,33
28,38,34
29,39,35
30,40,36
31,41,37
32,42,38
33,43,39
34,44,40
35,45,41
36,46,42
37,47,43
38,48,44
39,49,45
40,50,46
41,51,47
42,52,48
43,53,49
44,54,50
45,55,51
46,56,52
47,57,53
48,58,54
49,59,55
50,60,56
51,61,57
52,62,58
53,63,102
54,64,103
55,65,104
56,66,105
57,67,106
58,68,107
59,69,108
60,70,109
61,71,110
62,72,111
63,73,112
64,74,113
65,75,114
66,76,115
67,77,116
68,78,117
69,79,118
70,80,119
71,81,120
72,82,121
73,83,122
74,84,123
75,85,124
76,86,125
77,87,126
78,88,127
79,89,128
80,90,129
81,91,130
82,92,131
83,93,132
84,94,133
85,95,134
86,96,135
87,97,136
88,98,137
89,99,138
90,100,139
91,101,140
92,102,141
93,103,142
94,104,143
95,105,144
96,106,145
97,107,146
98,108,147
99,109,148
100,110,149
101,111,50
102,112,51
103,113,52
104,114,53
105,115,54
106,116,55
107,117,56
108,118,57
109,119,58
110,120,59
111,121,60
112,122,61
113,123,62
114,124,63
115,125,64
116,126,65
117,127,66
118,128,67
119,129,68
120,130,69
121,131,70
122,132,71
123,133,72
124,134,73
125,135,74
126,136,75
127,137,76
128,138,77
129,139,78
130,140,79
131,141,80
132,142,81
133,143,82
134,144,83
135,145,84
136,146,85
137,147,86
138,148,87
139,149,88
140,150,89
141,151,90
142,152,91
143,153,92
144,154,93
145,155,94
146,156,95
147,157,96
148,158,97
149,159,98
150,160,99
151,161,100
152,162,101
153,163,153
154,164,154
155,165,155
156,166,156
157,167,157
158,168,158
159,169,159
160,170,160
161,171,161
162,172,162
163,173,163
164,174,164
165,175,165
166,176,166
167,177,167
168,178,168
169,179,169
170,180,170
171,181,171
172,182,172
173,183,173
174,184,174
175,185,175
176,186,176
177,187,177
178,188,178
179,189,179
180,190,180
181,191,181
182,192,182
183,193,183
184,194,184
185,195,185
186,196,186
187,197,187
188,198,188
189,199,189
190,200,190
191,201,191
192,202,192
193,203,193
194,204,194
195,205,195
196,206,196
197,207,197
198,208,198
199,209,199
200,210,200
