pair_id,our_year,marina_year,our_o3_rm5_min_DU,marina_o3_rm5_min_DU,our_fwd50_doy,marina_fwd50_doy,rm5_low25_membership,is_our_rm5_low25,is_marina_rm5_low25,valid_for_rm5_o3_low25
1,11,7,104.10826568603515,124.82363086309321,115.0,114.0,not LOW25,False,False,True
2,12,8,104.60692596435547,124.87927592199172,118.0,117.0,not LOW25,False,False,True
3,13,9,106.5392333984375,128.59480484526344,102.0,101.0,not LOW25,False,False,True
4,14,10,100.63280792236328,120.794223994352,112.0,111.0,not LOW25,False,False,True
5,15,11,109.14564819335938,130.16371432337942,127.0,126.0,not LOW25,False,False,True
6,16,12,102.99802856445312,122.27772296329266,110.0,109.0,not LOW25,False,False,True
7,17,13,110.73199615478515,132.1406547840004,117.0,116.0,not LOW25,False,False,True
8,18,14,105.57963714599609,126.75850109945647,63.0,62.0,not LOW25,False,False,True
9,19,15,99.2660888671875,120.41535662450728,110.0,109.0,not LOW25,False,False,True
10,20,16,95.99239349365234,116.38230101064326,120.0,119.0,both LOW25,True,True,True
11,21,17,91.62273559570312,109.2384512953098,136.0,135.0,both LOW25,True,True,True
12,22,18,111.37915649414063,133.08670842139676,99.0,98.0,not LOW25,False,False,True
13,23,19,102.19355010986328,121.54507403761964,76.0,75.0,not LOW25,False,False,True
14,24,20,103.85945739746094,124.18555333086883,121.0,120.0,not LOW25,False,False,True
15,25,21,109.82989196777343,131.879618985112,115.0,114.0,not LOW25,False,False,True
16,26,22,90.62031555175781,107.54983226938566,126.0,125.0,both LOW25,True,True,True
17,27,23,106.92615051269532,128.0644475686351,94.0,93.0,not LOW25,False,False,True
18,28,24,98.07349090576172,115.2007711928583,81.0,80.0,Marina-only LOW25,False,True,True
19,29,25,101.3801513671875,123.28205251746289,127.0,126.0,not LOW25,False,False,True
20,30,26,97.94904937744141,118.92969960036818,111.0,110.0,Our-only LOW25,True,False,True
21,31,27,103.96840057373046,125.74688162701445,128.0,127.0,not LOW25,False,False,True
22,32,28,108.77250061035156,128.848792648758,126.0,125.0,not LOW25,False,False,True
23,33,29,104.596044921875,124.91956064122229,76.0,75.0,not LOW25,False,False,True
24,34,30,107.83379974365235,129.26288840807186,83.0,82.0,not LOW25,False,False,True
25,35,31,102.65736846923828,122.47711480731546,122.0,121.0,not LOW25,False,False,True
26,36,32,105.7446533203125,126.47017830259463,126.0,125.0,not LOW25,False,False,True
27,37,33,104.16482238769531,122.69008844381769,104.0,103.0,not LOW25,False,False,True
28,38,34,115.56958465576172,137.4579796123614,118.0,117.0,not LOW25,False,False,True
29,39,35,102.39924621582031,121.72040536303732,98.0,97.0,not LOW25,False,False,True
30,40,36,109.89168548583984,131.6148021982337,123.0,122.0,not LOW25,False,False,True
31,41,37,110.85447540283204,132.0295350138412,117.0,116.0,not LOW25,False,False,True
32,42,38,101.77271881103516,118.94748415121246,87.0,86.0,not LOW25,False,False,True
33,43,39,99.65351257324218,120.65135568719798,130.0,129.0,not LOW25,False,False,True
34,44,40,93.8314208984375,111.40022464734903,116.0,115.0,both LOW25,True,True,True
35,45,41,108.96061248779297,130.14968926855516,110.0,109.0,not LOW25,False,False,True
36,46,42,98.50585327148437,118.21539622615292,111.0,110.0,not LOW25,False,False,True
37,47,43,90.74273834228515,110.43162617812517,126.0,125.0,both LOW25,True,True,True
38,48,44,108.27339477539063,130.38261086765786,88.0,87.0,not LOW25,False,False,True
39,49,45,85.66077117919922,104.13489318890721,134.0,133.0,both LOW25,True,True,True
40,50,46,99.63299255371093,122.3947528879388,103.0,102.0,not LOW25,False,False,True
41,51,47,99.34056854248047,118.02487909482502,112.0,111.0,not LOW25,False,False,True
42,52,48,91.70784301757813,111.31262000262606,113.0,112.0,both LOW25,True,True,True
43,53,49,102.52939453125,121.23005108547892,111.0,110.0,not LOW25,False,False,True
44,54,50,99.20361022949218,118.83820251478707,128.0,127.0,not LOW25,False,False,True
45,55,51,106.88357086181641,127.35162758484698,108.0,107.0,not LOW25,False,False,True
46,56,52,105.50474548339844,125.73420297381772,117.0,116.0,not LOW25,False,False,True
47,57,53,,136.26524652634563,,120.0,not LOW25,False,False,False
48,58,54,105.02253875732421,120.38823499752692,108.0,76.0,not LOW25,False,False,True
49,59,55,111.31409454345703,126.52259115745603,,121.0,not LOW25,False,False,True
50,60,56,93.83275451660157,110.59344272323229,126.0,115.0,both LOW25,True,True,True
51,61,57,107.82809600830078,130.71555288797742,109.0,97.0,not LOW25,False,False,True
52,62,58,105.26522827148438,109.43937139282882,121.0,124.0,Marina-only LOW25,False,True,True
53,63,102,112.4533187866211,134.64731657645527,100.0,99.0,not LOW25,False,False,True
54,64,103,98.12377624511718,115.66231960354895,107.0,106.0,Marina-only LOW25,False,True,True
55,65,104,109.26041717529297,130.14053062193878,73.0,72.0,not LOW25,False,False,True
56,66,105,101.35975341796875,120.28809086701936,115.0,114.0,not LOW25,False,False,True
57,67,106,106.76121826171875,128.2776425299045,105.0,104.0,not LOW25,False,False,True
58,68,107,96.80681610107422,118.17826248731562,130.0,129.0,Our-only LOW25,True,False,True
59,69,108,99.74301300048828,117.22356377034497,107.0,106.0,not LOW25,False,False,True
60,70,109,96.88659973144532,117.13078894319257,121.0,120.0,both LOW25,True,True,True
61,71,110,94.55402221679688,112.41896525348555,123.0,122.0,both LOW25,True,True,True
62,72,111,110.47484283447265,131.87901796265888,115.0,114.0,not LOW25,False,False,True
63,73,112,99.64485168457031,119.75526377648332,120.0,119.0,not LOW25,False,False,True
64,74,113,85.71097259521484,105.41120848392957,122.0,121.0,both LOW25,True,True,True
65,75,114,96.27364349365234,116.65122222657367,118.0,117.0,both LOW25,True,True,True
66,76,115,91.22799530029297,108.96809247638576,128.0,127.0,both LOW25,True,True,True
67,77,116,102.39149169921875,123.78261351543503,124.0,123.0,not LOW25,False,False,True
68,78,117,103.3716796875,121.95683057311223,123.0,122.0,not LOW25,False,False,True
69,79,118,111.82381744384766,133.87392461700594,132.0,131.0,not LOW25,False,False,True
70,80,119,92.35799102783203,111.8150468844406,134.0,133.0,both LOW25,True,True,True
71,81,120,99.6448745727539,120.15875950624473,80.0,79.0,not LOW25,False,False,True
72,82,121,107.30463409423828,127.81306544238538,114.0,113.0,not LOW25,False,False,True
73,83,122,98.81533813476562,117.93433392306409,134.0,133.0,not LOW25,False,False,True
74,84,123,98.03203125,119.48690638730099,107.0,106.0,Our-only LOW25,True,False,True
75,85,124,99.97627563476563,116.99353033471404,93.0,92.0,Marina-only LOW25,False,True,True
76,86,125,109.54503479003907,131.07373076549857,98.0,97.0,not LOW25,False,False,True
77,87,126,104.57129516601563,125.22887462392164,143.0,142.0,not LOW25,False,False,True
78,88,127,88.17300109863281,107.20443603753553,131.0,130.0,both LOW25,True,True,True
79,89,128,105.8238525390625,126.66185371156364,117.0,116.0,not LOW25,False,False,True
80,90,129,102.05317077636718,122.38252739143816,63.0,62.0,not LOW25,False,False,True
81,91,130,110.18276824951172,131.50952905616452,127.0,126.0,not LOW25,False,False,True
82,92,131,90.88636169433593,109.43828667410664,138.0,137.0,both LOW25,True,True,True
83,93,132,106.99399871826172,129.41443728129,99.0,98.0,not LOW25,False,False,True
