dataset,cutoff_doy,cutoff_label,lead_days_to_Mar1,predictor_set,model_family,features,reg_rmse,reg_mse_skill_vs_climatology,reg_correlation,reg_correlation_pvalue,min_o3_rmse_DU,min_o3_mse_skill_vs_climatology,min_o3_correlation,min_o3_correlation_pvalue,cls_roc_auc,cls_brier_score,cls_brier_skill_vs_climatology,top25_hit_rate,top25_false_alarm_rate,top25_precision,top25_tp,top25_fp,top25_tn,top25_fn,n_samples,n_events,usable_predictability
B2000WCN001002,1,01-01,59,VORTEX_STATE,linear_l2,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean",7.109350370221865,0.21945405250261185,0.4684831665973256,1.4025116599069204e-12,6.518913076219681,0.1454215964323694,0.38146653343208115,1.6689809064499218e-08,0.6871657754010696,0.17423863526730984,0.06768797464875276,0.4117647058823529,0.19480519480519481,0.4117647058823529,21,30,124,30,205,51,False
B2000WCN001002,1,01-01,59,VORTEX_STATE,random_forest,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean",7.236518903791546,0.19128026923410535,0.44834824383141814,1.5689115533032394e-11,6.6331846767652145,0.11519878430097397,0.36312561368816515,8.739133879368896e-08,0.6504965622612682,0.2141786807279111,-0.1460222889725571,0.35294117647058826,0.21428571428571427,0.35294117647058826,18,33,121,33,205,51,False
B2000WCN001002,1,01-01,59,VORTEX_STATE,gradient_boosting,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean",7.447936288914736,0.14333594822258267,0.40327823063394674,2.0309150413405683e-09,6.740762552195317,0.08626640824127119,0.336514223826473,8.084019165536041e-07,0.645912910618793,0.19082274349736747,-0.02104988483280712,0.37254901960784315,0.2077922077922078,0.37254901960784315,19,32,122,32,205,51,False
B2000WCN001002,1,01-01,59,WAVE_FORCING,linear_l2,"EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",6.9983270885563265,0.24364251250615998,0.4938207791419126,5.320265311007617e-14,6.442852755388341,0.1652470831105075,0.4068909533574936,1.4114815350922266e-09,0.674306086070792,0.17586282561816843,0.05899729480474558,0.35294117647058826,0.21428571428571427,0.35294117647058826,18,33,121,33,205,51,False
B2000WCN001002,1,01-01,59,WAVE_FORCING,random_forest,"EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.290453607271629,0.17918036181927166,0.4411849794850877,3.5680598916611215e-11,6.773775809398654,0.07729436983699045,0.3217835571901566,2.5410841736238395e-06,0.6374458874458874,0.21133425410491963,-0.13080239734647914,0.3137254901960784,0.22727272727272727,0.3137254901960784,16,35,119,35,205,51,False
B2000WCN001002,1,01-01,59,WAVE_FORCING,gradient_boosting,"EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.312786610092335,0.17414379051137097,0.43460536968024954,7.463337213327171e-11,6.830248082412453,0.06184523415017851,0.30661350851765,7.77221693051261e-06,0.6127450980392158,0.1945297053259193,-0.04088500971756526,0.3137254901960784,0.22727272727272727,0.3137254901960784,16,35,119,35,205,51,False
B2000WCN001002,1,01-01,59,DYN_COUPLED,linear_l2,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.149045849104639,0.21071326903779397,0.4651344834957478,2.1188815234951687e-12,6.566154418943836,0.13299077771267553,0.37579604931081195,2.815344256562837e-08,0.6914947797300739,0.17550085914117802,0.060934096586706676,0.39215686274509803,0.2012987012987013,0.39215686274509803,20,31,123,31,205,51,False
B2000WCN001002,1,01-01,59,DYN_COUPLED,random_forest,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.182895661861063,0.20322123166898642,0.4635149968858263,2.5827039849170984e-12,6.780948695110315,0.07533919256882349,0.32893158891153806,1.4686024535648923e-06,0.6452762923351159,0.20834783670290136,-0.11482274477201804,0.35294117647058826,0.21428571428571427,0.35294117647058826,18,33,121,33,205,51,False
B2000WCN001002,1,01-01,59,DYN_COUPLED,gradient_boosting,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.304297637395043,0.17606005090716004,0.4406671134177547,3.783624890991448e-11,6.795604684018092,0.071337845782671,0.3267566239840974,1.7377973114891374e-06,0.6159281894576012,0.19845216709009267,-0.06187322663116168,0.3333333333333333,0.22077922077922077,0.3333333333333333,17,34,120,34,205,51,False
B2000WCN001002,1,01-01,59,DYN_PLUS_PASSIVE_TRACER,linear_l2,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend,O3_short_mean,O3_short_trend",6.841098810393965,0.2772462334960376,0.5332323765554925,1.855645648148118e-16,6.329990709215784,0.1942363373133319,0.4496689349881102,1.3455375994951265e-11,0.7167048637636874,0.16835276024137363,0.0991819774454129,0.39215686274509803,0.2012987012987013,0.39215686274509803,20,31,123,31,205,51,False
