dataset,cutoff_doy,cutoff_label,lead_days_to_Mar1,predictor_set,model_family,features,reg_rmse,reg_mse_skill_vs_climatology,reg_correlation,reg_correlation_pvalue,cls_roc_auc,cls_brier_score,cls_brier_skill_vs_climatology,top25_hit_rate,top25_false_alarm_rate,top25_precision,top25_tp,top25_fp,top25_tn,top25_fn,n_samples,n_events,usable_predictability
B2000WCN001002,1,01-01,59,DYN,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",7.094638403615426,0.22268120648368106,0.4721640765511563,8.864745025516025e-13,0.6771072065189712,0.17550470644782548,0.060913510508038504,0.43137254901960786,0.18831168831168832,0.43137254901960786,22,29,125,29,205,51,False
B2000WCN001002,1,01-01,59,DYN,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",7.363791973792431,0.16258321885214522,0.4181648888135392,4.408410795153885e-10,0.6455309396485868,0.21286999174654841,-0.1390197864971603,0.35294117647058826,0.21428571428571427,0.35294117647058826,18,33,121,33,205,51,False
B2000WCN001002,1,01-01,59,O3_MEMORY,linear,"O3_short_mean,O3_short_trend",6.51381718372205,0.3447458682225767,0.587167709338915,2.183733793829947e-20,0.7583396995161701,0.15820431315532024,0.15348405139389698,0.49019607843137253,0.16883116883116883,0.49019607843137253,25,26,128,26,205,51,False
B2000WCN001002,1,01-01,59,O3_MEMORY,random_forest,"O3_short_mean,O3_short_trend",6.690348816268563,0.30874838398952753,0.5567354836491286,4.400562040436096e-18,0.7426788897377132,0.18769624747592936,-0.004320702848985336,0.49019607843137253,0.16883116883116883,0.49019607843137253,25,26,128,26,205,51,False
B2000WCN001002,1,01-01,59,DYN_PLUS_O3,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",6.61028603252979,0.3251936799570402,0.570438431743012,4.3188099456842604e-19,0.7309651133180545,0.16472780364637268,0.11857831063931601,0.43137254901960786,0.18831168831168832,0.43137254901960786,22,29,125,29,205,51,False
B2000WCN001002,1,01-01,59,DYN_PLUS_O3,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",6.67939718710175,0.3110095920424918,0.557696063357739,3.752700982980897e-18,0.7102113572701807,0.18971497332050402,-0.015122454009954378,0.43137254901960786,0.18831168831168832,0.43137254901960786,22,29,125,29,205,51,False
B2000WCN001002,2,01-02,58,DYN,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",7.067517420840495,0.22861282795418647,0.4784397204997668,4.003482195178501e-13,0.677361853832442,0.17478794750934257,0.06474872751717331,0.4117647058823529,0.19480519480519481,0.4117647058823529,21,30,124,30,205,51,False
B2000WCN001002,2,01-02,58,DYN,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",7.338467016875058,0.16833326620442468,0.4239897244693057,2.375372925124342e-10,0.647440794499618,0.21283291538515753,-0.13882139916746183,0.35294117647058826,0.21428571428571427,0.35294117647058826,18,33,121,33,205,51,False
B2000WCN001002,2,01-02,58,O3_MEMORY,linear,"O3_short_mean,O3_short_trend",6.488506476032248,0.34982821035885725,0.5914765288096692,9.84278943892413e-21,0.7594856124267889,0.15784179938742274,0.15542378160727777,0.47058823529411764,0.17532467532467533,0.47058823529411764,24,27,127,27,205,51,False
B2000WCN001002,2,01-02,58,O3_MEMORY,random_forest,"O3_short_mean,O3_short_trend",6.79361677701316,0.2872442541434349,0.5385297117766831,8.189242039691257e-17,0.7415966386554622,0.18988556811482582,-0.016035268656169555,0.49019607843137253,0.16883116883116883,0.49019607843137253,25,26,128,26,205,51,False
B2000WCN001002,2,01-02,58,DYN_PLUS_O3,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",6.572277160076115,0.33293158659167243,0.5771250084942556,1.337126228310844e-19,0.7295645530939648,0.164482001855651,0.11989354112761219,0.43137254901960786,0.18831168831168832,0.43137254901960786,22,29,125,29,205,51,False
B2000WCN001002,2,01-02,58,DYN_PLUS_O3,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",6.822181011999844,0.2812379913889995,0.5315976277797243,2.3816301050197715e-16,0.6897122485357778,0.19777574912632404,-0.058253865168546914,0.4117647058823529,0.19480519480519481,0.4117647058823529,21,30,124,30,205,51,False
B2000WCN001002,3,01-03,57,DYN,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",7.038730761045535,0.23488389483852534,0.48508464677266855,1.6948902603807238e-13,0.6816908581614464,0.17342330801278974,0.07205060870416491,0.4117647058823529,0.19480519480519481,0.4117647058823529,21,30,124,30,205,51,False
B2000WCN001002,3,01-03,57,DYN,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",7.371622272247471,0.16080133536948382,0.4166952983726801,5.143151077217055e-10,0.6354723707664884,0.21794837352261515,-0.16619307324775923,0.37254901960784315,0.2077922077922078,0.37254901960784315,19,32,122,32,205,51,False
