dataset,year,cutoff_doy,cutoff_label,lead_days_to_Mar1,MA_O3_loss,MA_O3_min_DU,MA_O3_min_doy,low_o3_rank,Low25_min_label,predictor_set,model_family,pred_MA_O3_loss,pred_low25_probability,prob_rank_desc,prob_top25_alarm
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,5.677859872615081,0.4936846882675405,3.0,True
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,2.3723985988970857,0.616313180254885,8.0,False
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,6.943543851476184,0.5246559234838111,2.0,True
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,3.9088248006715913,0.512658134691586,8.0,False
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,7.110124945993978,0.5475520207679964,1.0,True
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,2.6676085193695473,0.4487077388621508,11.0,False
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,5.785464465818258,0.49669292036038115,3.0,True
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,3.3818495430891136,0.6374350405429894,4.0,True
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,6.984842794292956,0.5231900131670991,3.0,True
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,4.473347793524439,0.5167929233317251,8.0,False
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,7.157337591326201,0.5482630594931434,1.0,True
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,3.6874858625614726,0.4821525121226307,8.0,False
BWCN,8,3,01-03,57,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,5.935999024677507,0.5025158748589669,3.0,True
BWCN,8,3,01-03,57,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,4.007754770134253,0.6757317702987592,3.0,True
BWCN,8,3,01-03,57,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,6.9721734163814855,0.522202954602506,2.0,True
BWCN,8,3,01-03,57,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,4.499787345352349,0.5424659950738032,9.0,False
BWCN,8,3,01-03,57,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,7.267659176792506,0.5522463510023089,1.0,True
BWCN,8,3,01-03,57,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,4.200535337024801,0.5362550657267969,8.0,False
BWCN,8,4,01-04,56,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,6.104064059934562,0.5092835695962127,3.0,True
BWCN,8,4,01-04,56,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,4.725716205612196,0.6895695363638423,3.0,True
BWCN,8,4,01-04,56,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,6.971691221096633,0.5228975277311342,2.0,True
BWCN,8,4,01-04,56,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,4.827406980572612,0.5450701976155296,9.0,False
BWCN,8,4,01-04,56,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,7.427664471829859,0.5583886186588314,2.0,True
BWCN,8,4,01-04,56,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,4.2612622965330464,0.5481441645468768,7.0,False
BWCN,8,5,01-05,55,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,6.23722690054236,0.5148970921669153,3.0,True
BWCN,8,5,01-05,55,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,4.852784055862581,0.732699474216073,3.0,True
BWCN,8,5,01-05,55,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,7.008656457432032,0.5268603255604516,2.0,True
BWCN,8,5,01-05,55,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,5.017581595293596,0.5242042552270452,11.0,False
BWCN,8,5,01-05,55,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,7.61797807679851,0.5664235321135119,2.0,True
BWCN,8,5,01-05,55,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,4.435155268048617,0.5486172054331073,6.0,False
BWCN,8,6,01-06,54,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,6.230662425009983,0.514172847742217,3.0,True
BWCN,8,6,01-06,54,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,4.038429482724624,0.7024394821517378,3.0,True
BWCN,8,6,01-06,54,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,7.078027618329449,0.5331427841176991,2.0,True
BWCN,8,6,01-06,54,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,4.731973158016499,0.4964232245009948,9.0,False
BWCN,8,6,01-06,54,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,7.77154502453078,0.5722317770325769,2.0,True
BWCN,8,6,01-06,54,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,3.6245256896097904,0.5585412989311521,6.0,False
BWCN,8,7,01-07,53,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,6.172032298134864,0.5108996948013633,4.0,True
BWCN,8,7,01-07,53,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,2.6664619040482105,0.6562148467002886,8.0,False
BWCN,8,7,01-07,53,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,7.165515792115055,0.5405023827708851,2.0,True
BWCN,8,7,01-07,53,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,4.627033213054312,0.5072650095107964,11.0,False
BWCN,8,7,01-07,53,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,7.877885078293517,0.5761776768460972,3.0,True
BWCN,8,7,01-07,53,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,4.43069312043123,0.5953391783483983,8.0,False
BWCN,8,8,01-08,52,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,6.208970796733276,0.512726598462543,4.0,True
BWCN,8,8,01-08,52,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,2.722898319794305,0.6799753806211704,5.0,True
BWCN,8,8,01-08,52,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,7.244260047054461,0.5471977151221851,2.0,True
BWCN,8,8,01-08,52,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,6.301502876417958,0.6078290935731313,8.0,False
BWCN,8,8,01-08,52,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,8.084750315785202,0.5814017921029723,3.0,True
BWCN,8,8,01-08,52,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,7.121377113517525,0.6253960900770328,6.0,False
BWCN,8,9,01-09,51,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,6.382879272820062,0.5221889284145936,3.0,True
BWCN,8,9,01-09,51,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,1.9166710020929536,0.6180085438884951,6.0,False
BWCN,8,9,01-09,51,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,7.295049696794355,0.5518033322348124,2.0,True
BWCN,8,9,01-09,51,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,7.50747833279823,0.6830083123380146,4.0,True
BWCN,8,9,01-09,51,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,8.187436187281785,0.5891159269090772,3.0,True
BWCN,8,9,01-09,51,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,6.95214011586416,0.6410819781655639,6.0,False
BWCN,8,10,01-10,50,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,6.72933337702121,0.5339527886662963,3.0,True
BWCN,8,10,01-10,50,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,2.518754790490881,0.6303787973542803,4.0,True
BWCN,8,10,01-10,50,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,7.318307181221043,0.5541487317529094,2.0,True
BWCN,8,10,01-10,50,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,6.7189285770355935,0.6529267230440499,7.0,False
BWCN,8,10,01-10,50,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,8.284801359620069,0.5967370604023012,3.0,True
BWCN,8,10,01-10,50,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,6.9701718633158745,0.6960352483469506,4.0,True
BWCN,8,11,01-11,49,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,6.992510458925356,0.5459898812673106,2.0,True
BWCN,8,11,01-11,49,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,2.59741410914049,0.6778958286408371,3.0,True
BWCN,8,11,01-11,49,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,7.312383005279141,0.554094321320131,2.0,True
BWCN,8,11,01-11,49,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,6.155162690312336,0.628992067132008,9.0,False
BWCN,8,11,01-11,49,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,8.29310745554169,0.6030697186491069,3.0,True
BWCN,8,11,01-11,49,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,6.968570451572506,0.6890717814153298,5.0,True
BWCN,8,12,01-12,48,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,7.342025068574515,0.56093882452115,2.0,True
BWCN,8,12,01-12,48,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,2.776386707946572,0.6899865854673778,4.0,True
BWCN,8,12,01-12,48,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,7.28811568680546,0.5524438856448676,2.0,True
BWCN,8,12,01-12,48,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,5.197622462165092,0.5998625796640289,11.0,False
BWCN,8,12,01-12,48,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,8.446313709882759,0.6105749487735376,2.0,True
BWCN,8,12,01-12,48,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,7.337639906918452,0.696880798716781,5.0,True
BWCN,8,13,01-13,47,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,7.732901449979662,0.5775247826811346,2.0,True
BWCN,8,13,01-13,47,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,4.3180077838999535,0.7013469688700085,4.0,True
BWCN,8,13,01-13,47,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,7.2574161558131465,0.5504422994900242,2.0,True
BWCN,8,13,01-13,47,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,6.256586497052487,0.6104243043848179,9.0,False
BWCN,8,13,01-13,47,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,8.650266124575067,0.6198800177500049,2.0,True
BWCN,8,13,01-13,47,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,8.662321852849407,0.710168123445154,5.0,True
BWCN,8,14,01-14,46,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,8.10418737181966,0.5927288000952095,2.0,True
BWCN,8,14,01-14,46,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,8.753811105373996,0.7502005403723978,2.0,True
BWCN,8,14,01-14,46,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,7.23754984096618,0.5497079685867905,2.0,True
BWCN,8,14,01-14,46,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,7.876901112389899,0.6791344412743062,4.0,True
BWCN,8,14,01-14,46,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,8.865823020611721,0.6294343649564735,2.0,True
BWCN,8,14,01-14,46,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,9.9919931182951,0.7800492587346934,1.0,True
BWCN,8,15,01-15,45,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,8.51955441098781,0.6088967408062791,1.0,True
BWCN,8,15,01-15,45,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,10.07744574167012,0.7903567794311148,1.0,True
BWCN,8,15,01-15,45,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,7.240717266194504,0.5512667212494724,2.0,True
BWCN,8,15,01-15,45,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,9.637128447039004,0.78722888313348,1.0,True
BWCN,8,15,01-15,45,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,9.073544645215584,0.6393375038939278,2.0,True
BWCN,8,15,01-15,45,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,11.24181436374421,0.7769563987580109,1.0,True
BWCN,8,16,01-16,44,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,9.013921768508174,0.6279193543257312,2.0,True
BWCN,8,16,01-16,44,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,10.377209289532969,0.7347244742825373,3.0,True
BWCN,8,16,01-16,44,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,7.2768894119808,0.5556855225068007,2.0,True
BWCN,8,16,01-16,44,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,9.919098374560102,0.8136344200013041,1.0,True
BWCN,8,16,01-16,44,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,9.278878573345256,0.6504986226930193,2.0,True
BWCN,8,16,01-16,44,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,11.727187363073938,0.7682621072313904,1.0,True
BWCN,8,17,01-17,43,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,9.41191258217063,0.6421987671582793,2.0,True
