dataset,year,cutoff_doy,cutoff_label,lead_days_to_Mar1,short_window_start_abs,short_window_end_abs,long_window_start_abs,long_window_end_abs,O3_short_mean,O3_short_trend,NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,MA_O3_loss,MA_O3_min_DU,MA_O3_min_doy,low_o3_rank,Low25_min_label
BWCN,2,1,01-01,59,339,366,277,366,-1.3799177294850276,0.11030967209295518,1.6588178958866464,0.06661709277368619,-0.0018221082167238947,1.7373017619018132,97.39088745117188,98,9.0,0
BWCN,3,1,01-01,59,704,731,642,731,-1.928685636763905,-0.18804190889799133,1.075078477053162,0.05577250466088949,-0.0019504242502244291,11.077120497493517,88.2921371459961,120,4.0,1
BWCN,4,1,01-01,59,1069,1096,1007,1096,-3.427355560818732,0.10433034814467063,0.42397320744558875,-0.07129855508592821,-0.0022789517760312206,-1.406564004779796,99.58116302490234,118,10.0,0
BWCN,5,1,01-01,59,1434,1461,1372,1461,1.094583417103981,-0.2400132613441814,-0.879302182862502,0.07782105960057079,-0.0022055742649013804,-7.391868064918436,102.55701293945313,120,15.0,0
BWCN,6,1,01-01,59,1799,1826,1737,1826,3.164493739020833,0.14011482011273013,0.5541047660819707,-0.019110867273829626,-0.0024629067859646084,-12.775030316375275,109.4763900756836,120,23.0,0
BWCN,7,1,01-01,59,2164,2191,2102,2191,7.215895694761626,0.15498936831226326,-0.8408451277379898,-0.08702779482474554,-0.0030108676417815966,-10.188913212923685,102.39976501464844,120,14.0,0
BWCN,8,1,01-01,59,2529,2556,2467,2556,-8.846177331623,0.04790862078827926,1.7936359794751748,0.07996953720523704,-0.001885202886420308,26.02682973001144,73.43604278564453,106,1.0,1
BWCN,9,1,01-01,59,2894,2921,2832,2921,-0.09558316527604152,-0.005136024190227736,0.10023699806600649,-0.013192115726159137,-0.0024285219187372186,-8.84545393037694,106.20907440185547,120,19.0,0
BWCN,10,1,01-01,59,3259,3286,3197,3286,-4.796027032550737,-0.2601150869100478,-0.02628794069306582,0.0670919973783144,-0.0019324420978780199,-10.245587607374892,105.58467712402344,120,18.0,0
BWCN,11,1,01-01,59,3624,3651,3562,3651,0.33106304008110043,-0.0008611236838797562,-0.15752085037168137,-0.018484615019882522,-0.002328597727669084,-6.232660261223507,107.15471649169922,120,20.0,0
BWCN,12,1,01-01,59,3989,4016,3927,4016,-0.033970463860027014,0.514901829299206,1.0340856623327428,-0.10122248881255996,-0.0023134587441096927,-7.000462765465949,108.03871307373046,120,21.0,0
BWCN,13,1,01-01,59,4354,4381,4292,4381,-5.377758229362958,-0.024165092575927576,1.6660498236201484,0.06421170521932207,-0.0018669322914180476,14.987227719253246,83.27454986572266,109,2.0,1
BWCN,14,1,01-01,59,4719,4746,4657,4746,-0.055964373423365084,-0.07969841097285252,0.4564589014241802,0.026259693683925084,-0.002206132294963709,8.500402582974749,89.38094482421874,95,5.0,1
BWCN,15,1,01-01,59,5084,5111,5022,5111,-2.1576215324112273,-0.05158728461130416,0.2708400353016171,-0.045131372974576665,-0.002128185264504927,3.308877464506513,96.6460189819336,88,8.0,0
BWCN,16,1,01-01,59,5449,5476,5387,5476,3.7587906031216973,-0.013578569779848221,1.1947141862737343,0.01731704129499496,-0.0022167000859534794,-5.014435888985098,100.64898681640625,120,13.0,0
BWCN,17,1,01-01,59,5814,5841,5752,5841,-4.224274811307012,-0.14332424568791216,0.6239017500947989,-0.005630789789008219,-0.002280739891187879,5.278286043848214,93.28086853027344,84,7.0,0
BWCN,18,1,01-01,59,6179,6206,6117,6206,-1.519684749574314,-0.003126264611950918,2.134812101292963,0.030735952508465843,-0.0020302245627246427,-6.254686798508984,103.8860580444336,120,17.0,0
BWCN,19,1,01-01,59,6544,6571,6482,6571,-6.601064013315942,-0.10818252285687519,2.916463302200447,-0.01808850027406196,-0.0016210631792246066,13.566131392769194,85.98907928466797,89,3.0,1
